c_Lname,c_Fname,c_age,c_phone,c_address,c_city,c_state,c_email,c_make,c_model,c_year
Evans,Lauren,47,392-897-6417,27 Bowman St.,Shakopee,MN,jkegl@comcast.net,Honda,Pilot,2018
Williamson,Melinda,42,317-015-3212,7351 Wild Rose Dr.,Rossville,GA,manuals@att.net,Mercedes,GLE,2020
Hayes,Anthony,43,228-261-2016,Court Drive,Pikesville,MD,laird@comcast.net,Ford,Bronco,2020
Benson,Billy,42,380-689-3850,811 Paris Hill Street,Dunedin,FL,sonnen@comcast.net,BMW,X3,2020
Williams,Alfred,42,464-187-6196,856 Lilac Dr.,Olive Branch,MS,joehall@yahoo.ca,Dodge,Durango,2017
Davis,Stephanie,27,166-976-5334,6 Bow Ridge Ave.,Chicopee,MA,wilsonpm@outlook.com,Ford,Explorer,2020
Santiago,Jacqueline,42,492-888-0468,54 South Broad Drive,Nanuet,NY,dmbkiwi@mac.com,Ford,Explorer,2020
White,Crystal,19,640-416-2421,95 Carson Dr.,East Orange,NJ,luvirini@att.net,Toyota,Corolla,2015
Clark,Paula,23,643-248-2967,567 Hawthorne Road,Passaic,NJ,juerd@icloud.com,Subaru,WRX STI,2019
Davies,Heather,49,240-239-4413,996 Mulberry St.,Elkridge,MD,jfriedl@live.com,Chevrolet,Tahoe,2015
Carter,Lisa,41,339-053-4256,Vermont St.,Holbrook,NY,chaffar@att.net,Toyota,4Runner,2016
Smith,Mackenzie,38,204-398-9019,9 Lincoln St.,Dover,NH,msroth@verizon.net,Mercedes,E-Class,2020
Scott,Jesse,34,194-667-5768,99 4th Street,Apex,NC,kidehen@att.net,Dodge,Charger,2019
Coleman,Connie,32,483-232-6406,Wilson St.,Johnston,RI,rohitm@comcast.net,Honda,CR-V,2021
Huang,Michael,18,564-189-6626,271 Holly Lane,Roswell,GA,multiplx@mac.com,Chevrolet,Colorado,2022
Vargas,George,22,648-625-3303,56 Bridle Lane,Warminster,PA,mugwump@outlook.com,Dodge,Charger,2019
Cantrell,Robert,48,585-560-6699,327 East Saxton Street,Westminster,MD,geekoid@outlook.com,Dodge,Dart,2022
Mcdonald,Kathryn,49,480-698-7588,39 Spring St.,Delaware,OH,mfleming@icloud.com,Honda,Odyssey,2019
